Grievance/Complaint,Offense Tag(s)
I'm a student wishing to file a grievance about my classmate taking down room reservation signs without authorization. I believe disciplinary action should occur for this unauthorized removal of materials.,12.1.6
"As faculty, I'm reporting a student removed my syllabus from the hallway bulletin board without approval. This unauthorized taking down of materials violated campus rules.",12.1.6
I'm staff grievant about a student tearing down library posters without permission. This unauthorized removal of materials disrupted operations.,12.1.6
"As an administrator, I'm submitting an official complaint about a student ripping down departmental notices without approval. This violation of taking down materials policy must be addressed.",12.1.6
I'm a student wishing to report my classmate took down tutoring center flyers without permission. I request disciplinary action for this unauthorized removal of materials violating policy.,12.1.6
"As faculty, I'm grievant about a student removing my assigned readings information from the bulletin board without authorization. This unauthorized taking down of materials violated rules.",12.1.6
I'm staff witness to a student tearing down lounge rules posters without approval. This unauthorized removal of materials disrupted operations and violated policy.,12.1.6
"As an administrator, I'm filing an official complaint about a student repeatedly ripping down room reservation signs without permission. This violation of taking down materials policy must be addressed.",12.1.6
I'm staff witness to a student littering food wrappers and cans in the courtyard. I request disciplinary action for this violation of littering policy.,12.1.7
"As an administrator, I'm submitting a complaint about a student dumping fast food trash in campus flower beds. This act of littering violated school rules.",12.1.7
I'm a student wishing to file a grievance about my classmate tossing cigarette butts on campus grounds. I believe disciplinary action should occur for this littering.,12.1.7
"As faculty, I'm reporting a student threw his empty coffee cup and snack wrappers on the floor of my classroom. This act of littering violated campus policy.",12.1.7
I'm staff grievant about students dumping trash bags in hallway corners instead of taking them to the dumpster. Their littering made a mess requiring extra cleanup.,12.1.7
"As an administrator, I'm submitting an official complaint about a student tossing old furniture out their dorm window onto campus grounds. This act of illegal dumping must be disciplined.",12.1.7
I'm a student wishing to report my classmate dumped fast food trash and cigarette butts along the campus walking path. I request disciplinary action for this littering violating school rules.,12.1.7
"As faculty, I'm grievant about a student leaving spilled food, cups, and wrappers behind after class despite having a trash can available. His littering violated policy.",12.1.7
"I'm staff witness to students tossing food, broken equipment, and other trash off dorm balconies onto campus grounds below. Their littering created an eyesore requiring cleanup.",12.1.7
"As an administrator, I'm filing an official complaint about a student dumping old mattresses, furniture, and debris on campus grounds illegally. This act of littering must be disciplined.",12.1.7
"I'm a student wishing to report my classmate tossing fast food bags, cups, and wrappers out their dorm window onto campus grounds. I believe disciplinary action should occur for this littering violating policy.",12.1.7
"As faculty, I'm grievant about a student dumping trash from their car onto the parking lot. His littering created an eyesore and health hazard.",12.1.7
"I'm staff witness to students leaving spilled food, wrappers, cups, and half eaten meals behind in the cafeteria. Their littering required extra cleanup violating school rules.",12.1.7
"As an administrator, I'm submitting an official complaint about a student tossing old furniture, appliances, and debris off their balcony onto campus grounds below. This act of illegal dumping must be disciplined.",12.1.7
I'm a student wishing to file a grievance about my classmate dumping trash bags behind campus buildings instead of using the dumpsters properly. I request disciplinary action for this littering violating policy.,12.1.7
"As faculty, I'm reporting a student left spilled food and piled up trash at their desk after class. His littering violated campus rules.",12.1.7
"I'm staff grievant about students dumping cardboard, plastic, and other debris around dumpsters instead of placing inside properly. Their littering attracted pests and required cleanup.",12.1.7
"As an administrator, I'm submitting an official complaint about a student tossing used furniture, appliances, and other junk onto campus grounds illegally. This act of littering must be disciplined.",12.1.7
I'm a student wishing to file a grievance about my classmate dumping trash bags behind campus buildings instead of using the dumpster. I believe disciplinary action should occur for this littering violating school policy.,12.1.7
"As faculty, I'm reporting a student spilled food and drinks on the floor and left a pile of trash at their seat after my class. His littering required extra janitorial work.",12.1.7
I'm staff witness to students dumping waste from their windows onto campus grounds creating an eyesore. I request disciplinary action for this littering violating school rules.,12.1.7
"As an administrator, I'm submitting an official complaint about a student illegally dumping scrap wood, bags of leaves, and other yard waste on college grounds. This littering must be disciplined.",12.1.7
I'm a student wishing to report my classmate tossed fast food trash along campus walking paths. I request disciplinary action for this littering violating policy.,12.1.7
"As faculty, I'm grievant about a student leaving spilled drinks, food wrappers, and trash in the classroom after lectures. His littering required extra cleanup efforts violating policy.",12.1.7
"I'm staff witness to students tossing trash bags, broken furniture, and debris from their dorm room windows onto grounds below. Their littering created an eyesore and health hazard.",12.1.7
"As an administrator, I'm filing an official complaint about a student illegally dumping scrap metal, yard waste, and other junk on college grounds. This act of littering must be disciplined.",12.1.7
I'm a student wishing to report my classmate dumped trash bags along the campus walking trail instead of using dumpsters properly. I believe disciplinary action should occur for this littering violating school rules.,12.1.7
"As faculty, I'm grievant about a student leaving behind piled up food wrappers, spilled drinks, and trash after lectures despite trash cans being available. His littering violated policy.",12.1.7
I'm staff witness to students tossing trash and debris from their dorm balconies onto grounds below. I request disciplinary action for this littering violating school policy.,12.1.7
"As an administrator, I'm submitting an official complaint about a student dumping scrap debris, appliances, and other junk illegally on campus grounds. This act of littering must be disciplined.",12.1.7
I'm a student wishing to file a grievance about my classmate dumping fast food bags and cups along the campus walking trail. I believe disciplinary action should occur for this littering violating policy.,12.1.7
"As faculty, I'm reporting a student spilled drinks and left food wrappers and trash on the floor after class despite trash cans being readily available. His littering violated campus rules.",12.1.7
I'm staff grievant about students tossing trash bags and debris from their dorm windows onto grounds instead of using dumpsters. Their littering required cleanup and violated policy.,12.1.7
"As an administrator, I'm submitting an official complaint about a student illegally dumping used furniture, scrap metal, and appliances on college grounds. This act of littering must be disciplined.",12.1.7
"I'm a student wishing to report my classmate dumped food wrappers, spilled drinks, and other trash on the floor after class. I request disciplinary action for this littering violating school policy.",12.1.7
"As faculty, I'm grievant about a student tossing cigarette butts, food wrappers, and cups on campus grounds outside my building. His littering violated policy.",12.1.7
I'm staff witness to students dumping trash bags in hallway corners instead of taking them to dumpsters properly. Their littering caused maintenance issues and violated rules.,12.1.7
"As an administrator, I'm submitting an official complaint about a student illegally dumping used furniture and appliances on college grounds. This act of littering must be disciplined.",12.1.7
I'm a student wishing to file a grievance about my classmate tossing fast food wrappers and cigarette butts along campus walkways. I believe disciplinary action should occur for this littering violating policy.,12.1.7
"As faculty, I'm reporting a student left spilled drinks, food wrappers, and other trash behind after lecture despite there being a trash can available. His littering violated campus rules.",12.1.7
I'm staff grievant about students dumping trash and debris from their dorm windows onto grounds instead of properly disposing. Their littering required cleanup and violated policy.,12.1.7
"As an administrator, I'm submitting an official complaint about a student illegally dumping scrap metal and other debris on college grounds. This act of littering must be disciplined.",12.1.7
I'm a student wishing to report my classmate dumped trash bags along the campus trail instead of using dumpsters properly. I request disciplinary action for this littering violating policy.,12.1.7
"As faculty, I'm grievant about a student leaving spilled food and a pile of trash behind after classes despite having garbage cans available. His littering violated campus rules.",12.1.7
"I'm staff witness to students tossing old furniture, appliances, and other debris from their balconies onto grounds below. Their littering created an eyesore requiring cleanup.",12.1.7
"As an administrator, I'm filing an official complaint about a student illegally dumping scrap debris, bags of leaves, and other junk onto college grounds. This act of littering must be disciplined.",12.1.7
"I'm a student wishing to report my classmate dumped cigarette butts, food wrappers, and cups along campus walkways. I request disciplinary action for this littering violating school policy.",12.1.7
"As faculty, I'm grievant about a student leaving spilled drinks, piled up trash, and scattered food behind after my lectures. His littering violated campus rules.",12.1.7
I'm staff witness to students tossing trash and debris out their dorm windows onto grounds instead of using dumpsters properly. Their littering required cleanup and violated policy.,12.1.7
"As an administrator, I'm submitting an official complaint about a student illegally dumping old furniture, appliances, and other scrap onto college grounds. This act of littering must be disciplined.",12.1.7
I'm staff witness to a student smoking just outside campus gates along the perimeter. I request disciplinary action for this violation of the non-smoking zone policy.,12.1.8
"As an administrator, I'm submitting a complaint about a student smoking right outside dorm buildings near entrances. This violation of the smoke-free zone must be disciplined.",12.1.8
I'm a student wishing to file a grievance about my classmate smoking on the sidewalk just off campus grounds. I believe disciplinary action should occur for this violation of the non-smoking zone policy.,12.1.8
"As faculty, I'm reporting a student smoking right outside my building's entrance. This violation of the smoke-free zone violated campus policy.",12.1.8
I'm staff grievant about students smoking on the sidewalk just beyond campus borders. Their violation of the non-smoking zone requires disciplinary action.,12.1.8
"As an administrator, I'm submitting an official complaint about a student smoking right outside the parking lot exit. This violation of the smoke-free zone must be disciplined.",12.1.8
I'm a student wishing to report my classmate smoking right by campus perimeter signs. I request disciplinary action for this violation of the non-smoking policy.,12.1.8
"As faculty, I'm grievant about a student smoking right next to building entrances just off campus grounds. His violation of the smoke-free zone violated policy.",12.1.8
I'm staff witness to students smoking on the sidewalk just beyond campus borders and gates. Their violation of the non-smoking zone warrants disciplinary action.,12.1.8
"As an administrator, I'm filing an official complaint about a student smoking right outside the parking lot entrance. This violation of the smoke-free zone must be disciplined.",12.1.8
I'm a student wishing to report my classmate smoking right next to campus border signs. I believe disciplinary action should occur for this violation of the non-smoking policy.,12.1.8
"As faculty, I'm grievant about a student smoking right by building access points just off campus. His violation of the smoke-free zone violated school rules.",12.1.8
I'm staff witness to students smoking just off campus grounds right near perimeter signs. Their violation of the non-smoking zone requires disciplinary action.,12.1.8
"As an administrator, I'm submitting an official complaint about a student smoking right outside the parking garage exit. This violation of the smoke-free zone must be disciplined.",12.1.8
I'm a student wishing to file a grievance about my classmate smoking right next to no smoking signs around campus borders. I request disciplinary action for this violation of policy.,12.1.8
"As faculty, I'm reporting a student smoking right outside my building's access points near campus edges. His violation of the non-smoking zone violated school rules.",12.1.8
I'm staff grievant about students smoking just off campus grounds right near the perimeter. Their violation of the non-smoking zone violated policy.,12.1.8
"As an administrator, I'm submitting an official complaint about a student smoking right by the parking lot exit. This violation of the smoke-free zone must be disciplined.",12.1.8
I'm a student wishing to report my classmate smoking on the sidewalk just beyond campus border signs. I believe disciplinary action should occur for this violation of the non-smoking policy.,12.1.8
"As faculty, I'm grievant about a student smoking near building access points just off campus property. His violation of the smoke-free zone violated campus rules.",12.1.8
I'm staff witness to students smoking right on the edge of campus near the perimeter signs. Their violation of the non-smoking zone requires disciplinary action.,12.1.8
"As an administrator, I'm submitting an official complaint about a student smoking right outside the campus exit road. This violation of the smoke-free zone must be disciplined.",12.1.8
I'm a student wishing to report my classmate smoking right next to the no smoking signs around campus edges. I request disciplinary action for this policy violation.,12.1.8
"As faculty, I'm grievant about a student smoking right outside building access points near campus perimeter. His violation of the non-smoking zone violated policy.",12.1.8
I'm staff witness to students smoking just beyond campus border signs near entrances. Their violation of the non-smoking zone violated rules.,12.1.8
"As an administrator, I'm filing an official complaint about a student smoking right outside the campus vehicle exit. This violation of the smoke-free zone must be disciplined.",12.1.8
I'm a student wishing to file a grievance about my classmate smoking near campus grounds and buildings. I believe disciplinary action should occur for this violation of the non-smoking policy.,12.1.8
"As faculty, I'm grievant about a student smoking right by building entryways just off campus. His violation of the smoke-free zone violated school policy.",12.1.8
I'm staff witness to students smoking near perimeter signs right off campus grounds. Their violation of the non-smoking zone violated rules.,12.1.8
"As an administrator, I'm submitting an official complaint about a student smoking right outside the campus exit. This violation of the smoke-free zone must be disciplined.",12.1.8
I'm a student wishing to report my classmate smoking right next to no smoking signs around campus perimeter. I request disciplinary action for this policy violation.,12.1.8
"As faculty, I'm reporting a student smoking near entryways just off campus grounds. His violation of the non-smoking zone violated campus rules.",12.1.8
I'm staff grievant about students smoking right near campus border signs and gates. Their violation of the non-smoking zone requires disciplinary action.,12.1.8
"As an administrator, I'm submitting an official complaint about a student smoking right outside the parking lot exit. This violation of the smoke-free zone must be disciplined.",12.1.8
I'm a student wishing to file a grievance about my classmate smoking near buildings just off campus grounds. I believe disciplinary action should occur for this violation of the non-smoking policy.,12.1.8
"As faculty, I'm grievant about a student smoking right next to the no smoking signs bordering campus. His violation of the non-smoking zone violated policy.",12.1.8
I'm staff witness to students smoking just off campus grounds near perimeter signs and gates. Their violation of the non-smoking zone violated rules.,12.1.8
"As an administrator, I'm submitting an official complaint about a student smoking right outside the campus vehicle exit. This violation of the smoke-free zone must be disciplined.",12.1.8
I'm a student wishing to report my classmate smoking right on the edge of campus near border signs. I request disciplinary action for this violation of the non-smoking policy.,12.1.8
"As faculty, I'm reporting a student smoking right next to building entryways just off campus. His violation of the smoke-free zone violated campus policy.",12.1.8
I'm staff grievant about students smoking just beyond campus perimeter signs near gates. Their violation of the non-smoking zone requires disciplinary action.,12.1.8
"As an administrator, I'm submitting an official complaint about a student smoking right outside the parking garage exit. This violation of the smoke-free zone must be disciplined.",12.1.8
I'm a student wishing to file a grievance about my classmate smoking right near campus border signs. I believe disciplinary action should occur for this violation of the non-smoking policy.,12.1.8
"As faculty, I'm grievant about a student smoking near entry points right off campus grounds. His violation of the smoke-free zone violated school rules.",12.1.8
I'm staff witness to students smoking right next to campus perimeter signs and gates. Their violation of the non-smoking zone requires disciplinary action.,12.1.8
"As an administrator, I'm filing an official complaint about a student smoking right outside the parking lot exit. This violation of the smoke-free zone must be disciplined.",12.1.8
I'm a student wishing to report my classmate smoking near campus buildings just beyond the grounds. I request disciplinary action for this violation of the non-smoking policy.,12.1.8
"As faculty, I'm grievant about a student smoking right outside my building near campus edges. His violation of the smoke-free zone violated campus rules.",12.1.8
I'm staff witness to students smoking right next to campus perimeter signs near gates. Their violation of the non-smoking zone violated policy.,12.1.8
"As an administrator, I'm submitting an official complaint about a student smoking right outside the campus exit road. This violation of the smoke-free zone must be disciplined.",12.1.8
I'm staff witness to a student breaking into a closed student government meeting without permission. I request disciplinary action for this unauthorized entry violating policy.,12.1.9
"As an administrator, I'm submitting a complaint about a student breaking into a locked lecture hall without permission. This unauthorized class entry violated school rules.",12.1.9
I'm a student wishing to file a grievance about my classmate breaking into our group presentation meeting room without permission. I believe disciplinary action should occur for this unauthorized entry.,12.1.9
"As faculty, I'm reporting a student broke into my locked classroom over the weekend without permission or reason. This unauthorized class entry violated campus policy.",12.1.9
I'm staff grievant about students breaking into a closed committee planning meeting without approval. Their unauthorized entry disrupted the event and violated policy.,12.1.9
"As an administrator, I'm submitting an official complaint about a student breaking into a locked lecture hall after hours without permission. This unauthorized class entry must be disciplined.",12.1.9
I'm a student wishing to report my classmate entered our reservation-only study room without permission. I request disciplinary action for this unauthorized entry violating school rules.,12.1.9
"As faculty, I'm grievant about a student breaking into my locked lab room over the weekend without approval. His unauthorized class entry violated policy.",12.1.9
I'm staff witness to students breaking into a closed faculty meeting without permission. Their unauthorized entry was disruptive and violated rules.,12.1.9
"As an administrator, I'm filing an official complaint about a student breaking into a restricted campus event without permission. This unauthorized entry must be disciplined.",12.1.9
I'm a student wishing to report my classmate entered a blocked off campus event without permission. I believe disciplinary action should occur for this unauthorized entry violating policy.,12.1.9
"As faculty, I'm grievant about a student breaking into my locked office without approval. His unauthorized entry violated school rules.",12.1.9
I'm staff witness to students entering a closed committee meeting uninvited and without permission. Their unauthorized entry disrupted the event and violated policy.,12.1.9
"As an administrator, I'm submitting an official complaint about a student breaking into a restricted academic event without permission. This unauthorized entry must be disciplined.",12.1.9
I'm a student wishing to file a grievance about my classmate entering our closed study group meeting uninvited. I request disciplinary action for this unauthorized entry violating policy.,12.1.9
"As faculty, I'm reporting a student broke into my locked classroom without permission over the weekend. His unauthorized class entry violated school rules.",12.1.9
I'm staff grievant about students breaking into a private campus event without approval. Their unauthorized entry disrupted the function and violated policy.,12.1.9
"As an administrator, I'm submitting an official complaint about a student breaking into a locked lecture after hours without permission. This unauthorized class entry must be disciplined.",12.1.9
I'm a student wishing to report my classmate entered a faculty committee meeting uninvited and without approval. I believe disciplinary action should occur for this unauthorized entry violating policy.,12.1.9
"As faculty, I'm grievant about a student breaking into my restricted lab area without permission. His unauthorized entry violated campus policy.",12.1.9
I'm staff witness to students entering a closed student government session without invitation or approval. Their unauthorized entry disrupted the meeting and violated rules.,12.1.9
"As an administrator, I'm filing an official complaint about a student breaking into a locked classroom without permission. This unauthorized class entry must be disciplined.",12.1.9
I'm a student wishing to report my classmate entered my reservation-only study room without approval. I request disciplinary action for this unauthorized entry violating school policy.,12.1.9
"As faculty, I'm reporting a student broke into my locked office area without permission over the weekend. His unauthorized entry violated rules.",12.1.9
I'm staff grievant about students breaking into a closed campus club meeting uninvited. Their unauthorized entry disrupted the event and violated policy.,12.1.9
"As an administrator, I'm submitting an official complaint about a student entering restricted academic space without permission. This unauthorized entry must be disciplined.",12.1.9
I'm a student wishing to file a grievance about my classmate breaking into a faculty planning meeting without invitation. I believe disciplinary action should occur for this unauthorized entry violating policy.,12.1.9
"As faculty, I'm grievant about a student entering my locked classroom without approval over the weekend. His unauthorized class entry violated policy.",12.1.9
I'm staff witness to students breaking into a closed campus event without permission or approval. Their unauthorized entry disrupted the function and violated rules.,12.1.9
"As an administrator, I'm filing an official complaint about a student breaking into restricted academic space without permission. This unauthorized entry must be disciplined.",12.1.9
I'm a student wishing to report my classmate entered a closed committee planning meeting uninvited. I request disciplinary action for this unauthorized entry violating policy.,12.1.9
"As faculty, I'm reporting a student broke into my locked office without permission over the weekend. His unauthorized entry violated campus rules.",12.1.9
I'm staff grievant about students entering a private campus function without invitation or approval. Their unauthorized entry disrupted the event and violated policy.,12.1.9
"As an administrator, I'm submitting an official complaint about a student breaking into a restricted student government meeting. This unauthorized entry must be disciplined.",12.1.9
I'm a student wishing to file a grievance about my classmate entering my reservation-only study area without permission. I believe disciplinary action should occur for this unauthorized entry violating school rules.,12.1.9
"As faculty, I'm grievant about a student breaking into my locked classroom area without approval on the weekend. His unauthorized class entry violated policy.",12.1.9
I'm staff witness to students entering a closed faculty meeting without invitation or permission. Their unauthorized entry disrupted the event and violated rules.,12.1.9
"As an administrator, I'm submitting an official complaint about a student breaking into restricted academic space uninvited. This unauthorized entry must be disciplined.",12.1.9
I'm a student wishing to report my classmate entered a campus club planning meeting without permission. I request disciplinary action for this unauthorized entry violating school policy.,12.1.9
"As faculty, I'm reporting a student broke into my restricted office area without approval over the weekend. His unauthorized entry violated campus rules.",12.1.9
I'm staff grievant about students breaking into a closed committee meeting uninvited. Their unauthorized entry disrupted the event and violated policy.,12.1.9
"As an administrator, I'm filing an official complaint about a student entering a locked classroom without permission. This unauthorized class entry must be disciplined.",12.1.9
I'm a student wishing to file a grievance about my classmate breaking into my reserved study room without approval. I believe disciplinary action should occur for this unauthorized entry violating policy.,12.1.9
"As faculty, I'm reporting a student entered my locked lab without permission over the weekend. His unauthorized class entry violated school rules.",12.1.9
I'm staff grievant about students breaking into a private campus event uninvited and without permission. Their unauthorized entry disrupted the function and violated policy.,12.1.9
"As an administrator, I'm submitting an official complaint about a student entering restricted space during a closed campus event. This unauthorized entry must be disciplined.",12.1.9
I'm a student wishing to report my classmate broke into a faculty planning meeting without invitation. I request disciplinary action for this unauthorized entry violating school policy.,12.1.9
"As faculty, I'm grievant about a student breaking into my locked classroom without approval over the weekend. His unauthorized class entry violated rules.",12.1.9
I'm staff witness to students entering a closed student government meeting without permission or approval. Their unauthorized entry disrupted the event and violated policy.,12.1.9
"As an administrator, I'm submitting an official complaint about a student breaking into restricted academic space uninvited. This unauthorized entry must be disciplined.",12.1.9
I'm staff witness to a student engaging in mischief by pulling the fire alarm as a prank during a campus event. I request disciplinary action for this policy violation.,12.1.10
"As an administrator, I'm submitting a complaint about a student causing mischief by rigging the voting box as a prank during student elections. This act violated school rules.",12.1.10
I'm a student wishing to file a grievance about my classmate engaging in misbehavior during a field trip by wandering off on their own. I believe disciplinary action should occur.,12.1.10
"As faculty, I'm reporting a student caused mischief during a guest lecture by booing the speaker. This disruption violated campus policy.",12.1.10
I'm staff grievant about students engaging in misbehavior during a campus tour by wandering into restricted areas. Their actions violated policy.,12.1.10
"As an administrator, I'm submitting an official complaint about a student engaging in mischief during graduation by setting off poppers. This act must be disciplined.",12.1.10
I'm a student wishing to report my classmate caused misbehavior during a field trip by disregarding instructions. I request disciplinary action for this violation of school rules.,12.1.10
"As faculty, I'm grievant about a student engaging in mischief during my lecture by rigging my presentation to play music suddenly. His actions violated policy.",12.1.10
I'm staff witness to students causing misbehavior during a campus tour by tossing balls around exhibit areas. Their actions violated rules.,12.1.10
"As an administrator, I'm filing an official complaint about a student engaging in mischief during a ceremony by setting off poppers. This act must be disciplined.",12.1.10
I'm a student wishing to report my classmate caused mischief during a guest lecture by repeatedly interrupting with jokes. I believe disciplinary action should occur for this violation of policy.,12.1.10
"As faculty, I'm grievant about a student engaging in misbehavior during a field trip by sneaking off on their own. His actions violated school rules.",12.1.10
I'm staff witness to students engaging in mischief during a campus tour by tossing objects into displays. Their actions violated policy.,12.1.10
"As an administrator, I'm submitting an official complaint about a student causing misbehavior during graduation by setting off stink bombs. This act must be disciplined.",12.1.10
I'm a student wishing to file a grievance about my classmate engaging in mischief during a guest lecture by making distracting noises. I request disciplinary action for this violation of school rules.,12.1.10
"As faculty, I'm reporting a student caused mischief during a campus event by rigging the voting box. His actions violated campus policy.",12.1.10
I'm staff grievant about students engaging in misbehavior during a field trip by wandering offsite without supervision. Their actions violated rules.,12.1.10
"As an administrator, I'm submitting an official complaint about a student causing mischief during a ceremony by releasing mice. This act of disruption must be disciplined.",12.1.10
I'm a student wishing to report my classmate engaged in misbehavior during a campus tour by trespassing into restricted areas. I believe disciplinary action should occur for this violation of policy.,12.1.10
"As faculty, I'm grievant about a student causing mischief during my lecture by suddenly playing loud music. His actions violated campus rules.",12.1.10
I'm staff witness to students engaging in mischief during a guest lecture by booing the speaker. Their actions violated policy.,12.1.10
"As an administrator, I'm filing an official complaint about a student causing misbehavior during graduation by igniting fireworks. This act of disruption must be disciplined.",12.1.10
I'm a student wishing to report my classmate engaged in mischief during a campus event by rigging the voting system. I request disciplinary action for this violation of school policy.,12.1.10
"As faculty, I'm reporting a student caused misbehavior during a field trip by wandering off on their own. His actions violated rules.",12.1.10
I'm staff grievant about students engaging in mischief during a guest lecture by repeatedly interrupting with jokes. Their actions violated policy.,12.1.10
"As an administrator, I'm submitting an official complaint about a student causing misbehavior during a campus ceremony by igniting fireworks. This act must be disciplined.",12.1.10
I'm a student wishing to file a grievance about my classmate engaging in mischief during student elections by stuffing the ballot box. I believe disciplinary action should occur for this violation of policy.,12.1.10
"As faculty, I'm grievant about a student causing misbehavior during a field trip by trespassing into off-limits areas. His actions violated school rules.",12.1.10
I'm staff witness to students engaging in mischief during a campus event by pulling a fire alarm prank. Their actions violated policy.,12.1.10
"As an administrator, I'm filing an official complaint about a student causing misbehavior during a campus ceremony by lighting fireworks. This act of disruption must be disciplined.",12.1.10
I'm a student wishing to report my classmate engaged in mischief during a guest lecture by causing distractions with noise. I request disciplinary action for this violation of school policy.,12.1.10
"As faculty, I'm reporting a student caused misbehavior during a field trip by sneaking off on their own. His actions violated campus rules.",12.1.10
I'm staff grievant about students engaging in mischief during a campus tour by trespassing into restricted areas. Their actions violated policy.,12.1.10
"As an administrator, I'm submitting an official complaint about a student causing misbehavior during graduation by igniting firecrackers. This act of disruption must be disciplined.",12.1.10
I'm a student wishing to file a grievance about my classmate engaging in mischief during a campus event by rigging the voting system. I believe disciplinary action should occur for this violation of school rules.,12.1.10
"As faculty, I'm reporting a student caused misbehavior during a campus tour by wandering into restricted areas. His actions violated policy.",12.1.10
I'm staff grievant about students engaging in mischief during a guest lecture by repeatedly interrupting with jokes. Their actions violated rules.,12.1.10
"As an administrator, I'm submitting an official complaint about a student causing misbehavior during a ceremony by setting off poppers. This act of disruption must be disciplined.",12.1.10
I'm a student wishing to report my classmate engaged in mischief during student elections by tampering with the ballot box. I request disciplinary action for this violation of school policy.,12.1.10
"As faculty, I'm grievant about a student causing misbehavior during a campus event by pulling the fire alarm as a prank. His actions violated campus rules.",12.1.10
I'm staff witness to students engaging in mischief during a campus tour by disregarding instructions. Their actions violated policy.,12.1.10
"As an administrator, I'm filing an official complaint about a student causing misbehavior during graduation by igniting fireworks. This act of disruption must be disciplined.",12.1.10
I'm a student wishing to file a grievance about my classmate engaged in mischief during a guest lecture by rigging distracting sounds suddenly. I believe disciplinary action should occur for this violation of school rules.,12.1.10
"As faculty, I'm reporting a student caused misbehavior during a field trip by trespassing into restricted areas. His actions violated rules.",12.1.10
I'm staff grievant about students engaging in mischief during a campus event by igniting firecrackers. Their actions violated policy.,12.1.10
"As an administrator, I'm submitting an official complaint about a student causing misbehavior during a campus ceremony by setting off poppers. This act of disruption must be disciplined.",12.1.10
I'm a student wishing to report my classmate engaged in mischief during student elections by stuffing the ballot box. I request disciplinary action for this violation of school policy.,12.1.10
"As faculty, I'm grievant about a student causing misbehavior during a campus event by pulling the fire alarm prank. His actions violated rules.",12.1.10
I'm staff witness to students engaging in mischief during a guest lecture by repeatedly interrupting with jokes. Their actions violated policy.,12.1.10
"As an administrator, I'm submitting an official complaint about a student causing misbehavior during graduation by setting off stink bombs. This act of disruption must be disciplined.",12.1.10
I'm a student filing about a classmate who keeps pestering me to share my class notes after I've asked him to stop. I find his repeated pestering to be unjust vexation and request disciplinary action.,12.1.11
"As faculty, I'm grievant about a student who annoys me by repeatedly interrupting my lecture with off-topic questions. His disruptive behavior is unjust and requires disciplinary intervention.",12.1.11
I'm staff reporting a student who vexes me by loitering around my office asking invasive questions. I request this pestering behavior be disciplined as it qualifies as unjust vexation.,12.1.11
"As an administrator, I'm submitting a complaint about a student annoying the front desk staff by repeatedly calling to ask frivolous questions. This pestering behavior violates policy.",12.1.11
I'm a student filing a grievance about classmates who keep pestering me for help on assignments after I've asked them to stop. Their repeated badgering is unjust vexation.,12.1.11
"As faculty, I'm reporting a student who vexes me by interrupting lectures with irrelevant comments. His disruptive behavior is unjust and requires disciplinary intervention.",12.1.11
I'm staff grievant about a student who annoys me by loitering outside my office making idle chitchat each day. I request this pestering behavior be disciplined as unjust vexation.,12.1.11
"As an administrator, I'm submitting an official complaint about a student pestering staff by repeatedly calling about trivial questions. This badgering behavior violates policy.",12.1.11
I'm a student filing a grievance about classmates annoying me by constantly asking to copy homework I've told them not to. Their pestering despite refusal is unjust vexation.,12.1.11
"As faculty, I'm reporting a student who vexes me by badgering me before and after class with tangential questions. His pestering behavior is unjust and requires disciplinary action.",12.1.11
I'm staff grievant about a student who annoys me by loitering outside my office making idle chatter every week. I request this continued pestering be disciplined as unjust vexation.,12.1.11
"As an administrator, I'm submitting an official complaint about a student pestering staff by repeatedly calling about invented issues. This badgering violates policy and must be disciplined.",12.1.11
I'm a student filing a grievance about classmates who continue pestering me for private tutoring after I've refused. Their ongoing badgering is unjust vexation warranting discipline.,12.1.11
"As faculty, I'm reporting a student who vexes me by interrupting my class with jokes and off-topic remarks. His disruptive behavior is unjust and requires disciplinary action.",12.1.11
I'm staff grievant about a student annoying me by frequently following me on campus while making unnecessary small talk. I request this pestering behavior be disciplined as unjust vexation.,12.1.11
"As an administrator, I'm submitting an official complaint about a student badgering our office staff by calling daily with frivolous questions. This pestering violates policy and warrants discipline.",12.1.11
I'm a student filing a grievance about classmates who pester me for answers by text after I've asked them to stop. Their ongoing badgering is unjust vexation requiring discipline.,12.1.11
"As faculty, I'm reporting a student who annoys me by making jokes and asides when I'm lecturing. His disruptive behavior is unjust and requires disciplinary intervention.",12.1.11
I'm staff grievant about a student vexing me by loitering near my office making unnecessary small talk whenever I pass. I request this continued pestering behavior be disciplined.,12.1.11
"As an administrator, I'm submitting an official complaint about a student badgering campus staff by repeatedly emailing trivial questions. This pestering violates policy and warrants discipline.",12.1.11
I'm a student filing a grievance about my classmate pestering me to share exam answers despite refusal. His repeated badgering is unjust vexation requiring disciplinary action.,12.1.11
"As faculty, I'm reporting a student who vexes me by interrupting my lecture to share jokes and gossip. Her disruptive behavior is unjust and requires disciplinary intervention.",12.1.11
I'm staff grievant about a student who annoys me by frequently approaching me around campus to make unnecessary chatter. I request this continued pestering be disciplined.,12.1.11
"As an administrator, I'm submitting an official complaint about a student badgering front desk staff by repeatedly calling about trivial questions. This pestering behavior violates policy.",12.1.11
I'm a student filing a grievance about my classmate pestering me for private tutoring sessions after I've refused. His repeated badgering is unjust vexation warranting discipline.,12.1.11
"As faculty, I'm reporting a student who vexes me by interrupting my lectures to share personal stories. His disruptive behavior is unjust, violates policy and requires discipline.",12.1.11
